Location,price_php_millions,Bedrooms,Bathrooms,Floor Area,Land Area,Town/Barangay,Municipality/City,Province/NCR
"Santo Domingo, Cainta",9.5,4.0,3.0,144.0,136.0,Santo Domingo,Cainta,Rizal
"San Vicente, Santa Maria",4.4,3.0,2.0,63.2,80.0,San Vicente,Santa Maria,Bulacan
"Camella Tarlac Access Rd. Maliwalo, Tarlac",7.81,5.0,3.0,100.0,110.0,Maliwalo,Tarlac City,Tarlac
"Gabon, Abucay",,3.0,2.0,67.0,88.0,Gabon,Abucay,Bataan
"Zambowood Rd. Boalan, Zamboanga",3.28,2.0,1.0,40.32,78.4,Boalan,Zamboanga City,Zamboanga del Sur
"Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",3.17,,,39.64,100.0,Sahud Ulan,Tanza,Cavite
"Santa Maria-San Jose Rd. Bulac, Santa Maria",1.8,2.0,2.0,52.0,40.0,Bulac,Santa Maria,Bulacan
"Aningway Sacatihan, Subic",8.43,5.0,3.0,142.0,121.0,Aningway Sacatihan,Subic,Zambales
"Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan, Pili",3.56,2.0,1.0,46.0,63.0,Cadlan,Pili,Camarines Sur
"Km. 19 West Service Rd. Cupang, Muntinlupa",28.65,3.0,3.0,219.3,90.0,Cupang,Muntinlupa,Metro Manila
"Km.71, North Luzon Expressway Panipuan, Mexico",3.5,3.0,2.0,102.39,154.0,Panipuan,Mexico,Pampanga
"Tugbok, Davao",5.3,3.0,2.0,70.27,67.0,Tugbok,Davao City,Davao del Sur
"Caingin, San Rafael",1.8,2.0,1.0,46.0,41.0,Caingin,San Rafael,Bulacan
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7.34,4.0,3.0,85.0,99.0,Santa Arcadia,Cabanatuan City,Nueva Ecija
"Sun Valley, Paranaque",45.0,6.0,5.0,337.0,350.0,Sun Valley,Parañaque,Metro Manila
"Ungka II, Pavia",4.08,3.0,2.0,52.0,80.0,Ungka II,Pavia,Iloilo
"Aningway Sacatihan, Subic",10.08,5.0,3.0,142.0,176.0,Aningway Sacatihan,Subic,Zambales
"Caingin, San Rafael",1.8,2.0,1.0,46.0,41.0,Caingin,San Rafael,Bulacan
"Bugtong Na Pulo, Lipa",7.5,4.0,3.0,119.0,150.0,Bugtong na Pulo,Lipa City,Batangas
"Pasong Camachile I, General Trias",2.29,3.0,1.0,40.0,40.0,Pasong Camachile I,General Trias,Cavite
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5.25,2.0,2.0,53.0,88.0,Maliwalo,Tarlac City,Tarlac
